problem_size_m, problem_size_n, problem_size_k, GFLOPs                                                                                      
1024 ,  1024 ,  1024 ,  42.256581, 30.651408                                                                                                
1280 ,  1280 ,  1280 ,  45.010168, 30.840833                                                                                                
1536 ,  1536 ,  1536 ,  51.280733, 35.871960                                                                                                
1792 ,  1792 ,  1792 ,  56.744085, 40.576010                                                                                                
2048 ,  2048 ,  2048 ,  56.208444, 41.855344                                                                                                
2304 ,  2304 ,  2304 ,  61.673927, 46.274717                                                                                                
2560 ,  2560 ,  2560 ,  61.879216, 47.673164                                                                                                
2816 ,  2816 ,  2816 ,  63.055633, 49.492737                                                                                                
3072 ,  3072 ,  3072 ,  58.442875, 47.485592                                                                                                
3328 ,  3328 ,  3328 ,  60.884837, 49.895613                                                                                                
3584 ,  3584 ,  3584 ,  63.380401, 52.230221                                                                                                
3840 ,  3840 ,  3840 ,  65.979087, 54.671121                                                                                                
4096 ,  4096 ,  4096 ,  64.627314, 54.349127
4352 ,  4352 ,  4352 ,  63.678937, 54.222412
4608 ,  4608 ,  4608 ,  66.400264, 56.615034
4864 ,  4864 ,  4864 ,  66.072773, 56.827091
5120 ,  5120 ,  5120 ,  66.190443, 57.330393
5376 ,  5376 ,  5376 ,  66.536756, 57.980579
5632 ,  5632 ,  5632 ,  67.175333, 58.799665
5888 ,  5888 ,  5888 ,  67.823059, 59.639995
6144 ,  6144 ,  6144 ,  66.507606, 58.943089
6400 ,  6400 ,  6400 ,  66.097782, 58.869872
6656 ,  6656 ,  6656 ,  67.207034, 60.000228
6912 ,  6912 ,  6912 ,  68.279637, 61.107547
7168 ,  7168 ,  7168 ,  66.668559, 60.053581
7424 ,  7424 ,  7424 ,  67.943666, 61.290454
7680 ,  7680 ,  7680 ,  69.204843, 62.514697
7936 ,  7936 ,  7936 ,  68.029042, 61.751222
8192 ,  8192 ,  8192 ,  68.251215, 62.119652
8448 ,  8448 ,  8448 ,  67.984116, 62.068012
8704 ,  8704 ,  8704 ,  68.269907, 62.466607
8960 ,  8960 ,  8960 ,  68.558144, 62.859081
9216 ,  9216 ,  9216 ,  68.372788, 62.851478
9472 ,  9472 ,  9472 ,  68.756679, 63.311268
9728 ,  9728 ,  9728 ,  68.706460, 63.407029
9984 ,  9984 ,  9984 ,  68.684492, 63.515098
10240 ,  10240 ,  10240 ,  68.701200, 63.654633
10496 ,  10496 ,  10496 ,  69.105773, 64.108900
10752 ,  10752 ,  10752 ,  68.863423, 64.013477
11008 ,  11008 ,  11008 ,  68.965811, 64.211285
11264 ,  11264 ,  11264 ,  69.114022, 64.437137
11520 ,  11520 ,  11520 ,  69.285472, 64.685564
11776 ,  11776 ,  11776 ,  69.160206, 64.667483
12032 ,  12032 ,  12032 ,  69.385578, 64.956273
12288 ,  12288 ,  12288 ,  69.315280, 64.984980
12544 ,  12544 ,  12544 ,  66.916849, 62.948350
12800 ,  12800 ,  12800 ,  67.194640, 63.268037
13056 ,  13056 ,  13056 ,  67.365507, 63.497500
13312 ,  13312 ,  13312 ,  67.021222, 63.258197
13568 ,  13568 ,  13568 ,  67.335406, 63.608667
13824 ,  13824 ,  13824 ,  67.476235, 63.795624
14080 ,  14080 ,  14080 ,  67.250686, 63.659283
14336 ,  14336 ,  14336 ,  67.496739, 63.941690
14592 ,  14592 ,  14592 ,  67.605609, 64.095786
14848 ,  14848 ,  14848 ,  67.388549, 63.960462
15104 ,  15104 ,  15104 ,  67.636037, 64.240543
15360 ,  15360 ,  15360 ,  67.742450, 64.387264
15616 ,  15616 ,  15616 ,  67.516013, 64.237148
15872 ,  15872 ,  15872 ,  67.728669, 64.479733
16128 ,  16128 ,  16128 ,  67.876420, 64.664786
16384 ,  16384 ,  16384 ,  67.647842, 64.506688
